,0,1,2,3,4,5
10,Tierspital BernVetsuisse-Fakultät Universität BernLänggassstrasse 128 3012 Bern,Do 04.02.2016 10:30 - 11:30,Medienkonferen,"Stefan Kunfermann, Mediensprecher BLVTel. dir. +41 (58) 463 78 98; media@blv.admin.ch",Bundesamt für Lebensmittelsicherheit und Veterinärwesen und Schweizer Tierschutz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6011.html
11,"Treffpunkt für die Einreichung ist am Donnerstag, 14. Januar, um 13.15 Uhr auf dem Bundesplatz, Bern. Bern",Do 14.01.2016 13:15,"Am 25. September 2015 verabschiedete das Parlament das neue NDG, das die Kompetenzen des Schweizer Nachrichtendienstes massiv ausbaut. Ohne Verdacht soll es dem Staatsschutz in Zukunft erlaubt sein die Privatsphäre und die Kommunikation der Bürgerinnen und Bürger auszuspionieren und deren Leben zu überwachen. Das „Bündnis gegen den Schnüffelstaat“ hat gegen diesen Ausbau der Massenüberwachung das Referendum ergriffen und die benötigten Unterschriften von Oktober 2015 bis Januar 2016 gesammelt. Damit wird das Volk das letzte Wort zum Schnüffelgesetz haben.","Mia Gujer, Koordinatorin NDG-Referendum, 076 335 94 71",«Bündnis gegen den Schnüffelstaat»,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6012.html
12,"Medienzentrum Bundeshaus, KonferenzsaalCentre de presse du Palais fédéral, salle de conférences Bern",Di 19.01.2016 13:30,"MedienkonferenzReferentinnen und Referenten• Beat Walti, NR FDP ZH• Hansjörg Knecht, NR SVP AG• Isidor Baumann, SR CVP UR• Duri Campell, NR BDP GR• Isabelle Chevalley, NR GLP VD• Maurus Zeier, Präsident Jungfreisinnige Schweiz","Matthias LeitnerKampagnenleiter Bürgerliches Komitee / Responsable de campagne Comité centre-droit031 320 35 33, 079 794 32 39",Komitee «NEIN zur Juso-Spekulationsinitiative»,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6013.html
13,Messe Zürich (Halle 3)Foire de Zurich (hall 3)Fiera di Zurigo (Padiglione 3)Messe Zürich (Hall 3) Zürich,Fr 22.01.2016 13:00 - 17:45,Jahreskonferenz der Schweizer Entwicklungszusammenarbeit mit Bundesrat Didier Burkhalter und UNO-Generalsekretär Ban Ki-moon,Information EDA / Information DFAE / Informazione DFAE / FDFA InformationGeorg FaragoPressesprecher / Porte-parole / Portavoce / Spokesperson+ 41 58 463 11 28georg.farago@eda.admin.ch,Eidgenössisches Departement für auswärtige Angelegenheiten,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6014.html
14,"Medienzentrum Bundeshaus, KonferenzsaalCentre de presse du Palais fédéral, salle de conférencesCentro media di Palazzo federale, sala delle conferenze Bern",Mo 25.01.2016 10:30,Medienkonferenz,"Anne Weibel, Cheffe de la Communication++41 58 462 79 85",Bundesamt für Kultur,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6015.html
15,"Hotel Schweizerhof, ArvenstubePromenade 50 7270 Davos Platz (GR)",Do 21.01.2016 14:00 - 14:15,"Bundesrat Guy Parmelin zieht Bilanz seiner diesjährigen WEF-Teilnahme. Er informiert über ausgewählte Treffen, Gespräche und Verhandlungen.",Urs Wiedmer Chef Kommunikation VBS / Chef Communication DDPS /Capo della Comunicazione DDPS / Head of Communication DDPS058 464 50 82,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6016.html
16,BernerhofBundesgasse 3 Bern,Di 01.03.2016 14:45 - 19:30,14:45 - 17:00 Uhr Begrüssung und Einführung17:30 - 19:30 Uhr Offizieller Teil,plurilingua@gs-efd.ch,Delegierte des Bundes für Mehrsprachigkeit / Parlamentsdienste,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6017.html
17,Hotel Morosani SchweizerhofSitzungszimmer Nr. 2 (neben dem Swiss Desk)Salle de réunion no 2 (à côté du Swiss Desk)Sala conferenze 2 (di fianco allo Swiss Desk)Promenade 50 7270 Davos Platz (GR),Fr 22.01.2016 16:30,Bundesrätin Doris Leuthard nimmt vom 20. bis 22. Januar 2016 am World Economic Forum (WEF) in Davos teil und wird die Medien im Rahmen eines Point de Presse kurz über ihre Gespräche und Treffen informieren.,Annetta BundiPresse- und Informationsdienst UVEK / Service de presse et d'information DETEC / Servizio stampa DATEC078 646 38 80,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6018.html
18,Zunftrestaurant SchmiedstubeSchmiedenplatz 5 3011 Bern,Di 02.02.2016 10:15,"Es referieren:Heinz Karrer, Präsident economiesuisse Monika Rühl, Vorsitzende der Geschäftsleitung economiesuisse",economiesuisse+41 44 421 35 35,economiesuisse,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6020.html
19,"Hotel Morosani SchweizerhhofRaum/Salle ""Mezzanine""Promenade 50 7270 Davos Platz (GR)",Fr 22.01.2016 17:30,"Bundesrat Ueli Maurer, Vorsteher des Eidgenössischen Finanzdepartementes (EFD), nimmt am 21. und 22. Januar 2016 am Jahresmeeting des World Economic Forum (WEF) in Davos teil und wird dort Gespräche mit Finanzministerkollegen sowie Vertretern internationaler Gremienführen.",Kommunikation EFD / Communication DFF058 462 60 33,Eidgenössisches Finanzdepartement,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6021.html
20,BernerhofBundesgasse 3 Bern,Fr 29.01.2016 09:15,"MedienkonferenzAnlässlich der Publikation des neuen, jährlich erstellten «Berichts über internationale Finanz- und Steuerfragen» wird Staatssekretär Jacques de Watteville den Stand der Umsetzung der Finanzmarktpolitik des Bundesrates erläutern und einige aktuelle Projekte darlegen.","Kommunikation, Staatssekretariat für internationale Finanzfragen SIFCommunication, Secrétariat d'Etat aux questions financières internationales SFI+41 58 462 46 16, info@sif.admin.ch",Staatssekretariat für internationale Finanzfragen,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6022.html
21,Aula des Jeunes-RivesFaculté des lettres et des sciences humainesEspace Louis-Agassiz 1 2000 Neuenburg,Do 11.02.2016 08:45 - 17:15,Nationales Kolloquium mit Point de Presse um 10:45 Uhr,"Sabine BaumgartnerBeauftragte Öffentlichkeitsarbeit Eidg. Büro für die Gleichstellung von Frau und Mann EBGResponsable des relations publiques Bureau fédéral de l'égalité entre femmes et hommes BFEG+41 58 463 29 31, sabine.baumgartner@ebg.admin.ch",Eidg. Büro für die Gleichstellung von Frau und Mann,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6023.html
22,"Medienzentrum Bundeshaus, kleiner KonferenzraumCentre de presse du Palais fédéral, petite salle de conférencesCentro media di Palazzo federale, piccola sala delle conferenze Bern",Fr 29.01.2016 09:30,Jahresmedienkonferenz der Direktion für Entwicklung und Zusammenarbeit DEZA mit Direktor Manuel Sager,Information EDA / Information DFAE / Informazione DFAE+41 462 31 53,Eidgenössisches Departement für auswärtige Angelegenheiten,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6024.html
23,Geschäftsstelle Kleinbauern-VereinigungMonbijoustrasse 34. Stock 3011 Bern,Di 02.02.2016 10:15 - 11:15,Mediengespräch,"Barbara Küttel, Geschäftsleiterin: Telefon 031 312 64 00, Mobile 076 392 19 81",Kleinbauern-Vereinigung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6025.html
24,Staatssekretariat für MigrationQuellenweg 6 3084 Bern-Wabern,Do 28.01.2016 10:00,Point de Presse,"Yves Staudenmann, SEM, yves.staudenmann@sem.admin.ch, Tel. +41 58 468 67 21",Staatssekretariat für Migration,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6026.html
25,BundesratsstübliCafé FédéralBärenplatz 31 3011 Bern,Do 28.01.2016 10:30,"MedienkonferenzWas bedeuten die neuen UNO-Ziele für nachhaltige Entwicklung (SDG) – wie bekämpfen Schweizer Hilfswerke den Welthunger ?Teilnehmende:► Mark Herkenrath, Geschäftsleiter Alliance Sud► Catherine Morand, Membre de la direction, SWISSAID► Tina Goethe, Teamleiterin Recht auf Nahrung, Brot für alle","Lorenz Kummer, Mediensprecher SWISSAID, 031-350-5351; l.kummer@swissaid.ch","Alliance Sud, SWISSAID und Brot für alle",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6027.html
26,"Medienzentrum Bundeshaus, KonferenzsaalCentre de presse du Palais fédéral, salle de conférences Bern",Fr 29.01.2016 11:00,Medienkonferenz,"Martin Baltisser, Generalsekretär SVP Schweiz, 079 351 92 22",SVP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6028.html
27,"Medienzentrum Bundeshaus, KonferenzsaalCentre de presse du Palais fédéral, salle de conférencesCentro media di Palazzo federale, sala delle conferenze Bern MZ",So 05.06.2016 17:15,Medienkonferenz des BundesratesDie Medienkonferenz wird auf www.admin.ch live übertragen.,Der Bundesrat,Links   Medienkonferenz   Abstimmungsvorlagen,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6029.html
